idpregunta,category,value,question,choice_a,choice_b,choice_c,choice_d,answer,Unnamed: 9
5,Gestión Pública,100,"¿Qué es el proceso de dirección de la sociedad, estructurado institucional y técnicamente?",La gobernación/gobernanza.,El gobierno.,El sistema político.,La administración pública.,a,
1,Gestión Pública,100,¿De quiénes ha sido en gran medida el concepto de gobernanza?,De las empresas privadas.,De los organismos internacionales.,De los investigadores académicos.,De los gobiernos locales.,c,
9,Gestión Pública,100,Significa básicamente el conjunto de actividades directivas y operativas que múltiples agentes llevan a cabo para realizar de manera eficiente las decisiones que la alta dirección de una organización ha tomado,La administración.,La gestión institucional.,La gobernanza.,La política pública.,a,
10,Gestión Pública,100,"¿Qué tuvo como propósito prioritario y resultado relativamente rápido el redimensionamiento del Estado, la reducción draconiana de su crecido aparato administrativo, de sus empresas y sus territorios de intervención?",La globalización.,La política social.,La reforma administrativa.,La modernización económica.,c,
8,Gestión Pública,100,¿En qué año fueron publicadas las primeras normas internacionales de gestión de la calidad?,En 1975.,En 1980.,En 1987.,En 1994.,c,
4,Gestión Pública,100,"Es el resultado y el testigo de la transición ocurrida de “un Estado unitario a un régimen diferenciado""",El Estado moderno.,La política pública.,La nueva gobernanza.,La nueva gobernanza.,c,
15,Gestión Pública,100,¿Qué factores propiciaron la derrota política de los laboristas en el Reino Unido?,El aumento del empleo y la productividad.,La expansión del bienestar social.,La estabilidad económica.,"El agotamiento de la política de empleo, bienestar y seguridad social.",c,
11,Gestión Pública,100,¿Quiénes propusieron una definición genérica de la Nueva Gestión Pública?,Ch. Pollitt y G. Bouckaert.,Drucker y Mintzberg.,Hood y Peters.,Osborne y Gaebler.,a,
2,Gestión Pública,100,¿En qué contexto comenzó a tomar forma la cuestión y el concepto de gobernanza desde el punto de vista disciplinar?,En el contexto de la teoría de sistemas sociales,En el contexto del análisis de las políticas públicas.,En el contexto de la administración privada.,En el contexto de la economía política internacional.,b,
7,Gestión Pública,100,¿Cuáles fueron las reformas de los años ochenta que tuvieron su origen en las dificultades que enfrentaban los Estados sociales para sostener el crecimiento económico y el bienestar social?,Las reformas fiscales.,Las reformas políticas.,Las reformas educativas.,Las reformas administrativas.,d,
